episode: 0, episode length: 211, reward: -77.9293945453258
episode: 1, episode length: 223, reward: -79.83130381645854
episode: 2, episode length: 47, reward: -92.64377561552378
episode: 3, episode length: 50, reward: -92.84823654954002
episode: 4, episode length: 97, reward: -75.69977312166819
episode: 5, episode length: 323, reward: -88.87025503928088
episode: 6, episode length: 21, reward: -96.22461747173335
episode: 7, episode length: 58, reward: -84.08288748687596
episode: 8, episode length: 500, reward: 68.24139055208443
episode: 9, episode length: 500, reward: 31.963439957120283
episode: 10, episode length: 130, reward: -88.0640522136366
episode: 11, episode length: 21, reward: -96.83812015212757
episode: 12, episode length: 253, reward: -60.132991651791805
episode: 13, episode length: 219, reward: -59.72606876391631
episode: 14, episode length: 15, reward: -95.89220906556407
episode: 15, episode length: 500, reward: 12.2641056336644
episode: 16, episode length: 185, reward: -64.110274923292
episode: 17, episode length: 370, reward: -60.03348775024935
episode: 18, episode length: 439, reward: -60.437289891275654
episode: 19, episode length: 197, reward: -71.27731134096206
episode: 20, episode length: 26, reward: -96.98674313727848
episode: 21, episode length: 189, reward: -71.84149947909295
episode: 22, episode length: 139, reward: -77.9986142705177
episode: 23, episode length: 436, reward: -42.96863248447251
episode: 24, episode length: 321, reward: -72.52845253869424
episode: 25, episode length: 500, reward: 53.6948605726319
episode: 26, episode length: 132, reward: -63.36937560055579
episode: 27, episode length: 2, reward: -100.09182927236657
episode: 28, episode length: 159, reward: -78.51753841771198
episode: 29, episode length: 500, reward: 33.50617334872523
episode: 30, episode length: 500, reward: 42.825374140584366
episode: 31, episode length: 272, reward: -69.23745146494451
episode: 32, episode length: 82, reward: -84.95792963399046
episode: 33, episode length: 7, reward: -101.5252393514484
episode: 34, episode length: 246, reward: -79.75440961718334
episode: 35, episode length: 139, reward: -58.666407414151884
episode: 36, episode length: 500, reward: 47.84001741124167
episode: 37, episode length: 319, reward: -76.85597253576908
episode: 38, episode length: 500, reward: 0.20730343957013975
episode: 39, episode length: 203, reward: -65.59244771560111
episode: 40, episode length: 53, reward: -97.97372602872267
episode: 41, episode length: 462, reward: -42.2177217784741
episode: 42, episode length: 315, reward: -75.29277291352301
episode: 43, episode length: 100, reward: -74.39973474531189
episode: 44, episode length: 500, reward: -6.580536407742484
episode: 45, episode length: 500, reward: 1.90759428021767
episode: 46, episode length: 249, reward: -97.98376856723178
episode: 47, episode length: 500, reward: -16.91350885735214
episode: 48, episode length: 500, reward: -26.315833227006095
episode: 49, episode length: 500, reward: -25.298676383703306
episode: 50, episode length: 500, reward: -15.81605079507717
episode: 51, episode length: 500, reward: -30.29132384594737
episode: 52, episode length: 500, reward: 4.888161275680697
episode: 53, episode length: 500, reward: 2.974448963191901
episode: 54, episode length: 425, reward: -104.29034955858133
episode: 55, episode length: 500, reward: 6.908205451494609
episode: 56, episode length: 500, reward: 20.41837046215875
episode: 57, episode length: 446, reward: -71.1310453761588
episode: 58, episode length: 500, reward: 33.11177414237671
episode: 59, episode length: 500, reward: -8.44013897493064
episode: 60, episode length: 169, reward: -80.3524761014612
episode: 61, episode length: 500, reward: 24.403786669945077
episode: 62, episode length: 500, reward: 45.84979292052446
episode: 63, episode length: 500, reward: 34.083987648352576
episode: 64, episode length: 317, reward: -98.62634590222149
episode: 65, episode length: 14, reward: -100.96463660072526
episode: 66, episode length: 500, reward: 36.054676130524484
episode: 67, episode length: 500, reward: 15.630170768997719
episode: 68, episode length: 198, reward: -55.56133688314721
episode: 69, episode length: 500, reward: 71.60042405173938
episode: 70, episode length: 500, reward: -17.824300987622728
episode: 71, episode length: 500, reward: 26.799318444527866
episode: 72, episode length: 254, reward: -95.19804565873663
episode: 73, episode length: 500, reward: 62.03117191993168
episode: 74, episode length: 500, reward: -24.15368320972926
episode: 75, episode length: 500, reward: 37.07398764521905
episode: 76, episode length: 500, reward: 43.25970707360494
episode: 77, episode length: 500, reward: -1.2540597635710329
episode: 78, episode length: 127, reward: -90.29197725785323
episode: 79, episode length: 500, reward: -22.07619254980334
episode: 80, episode length: 236, reward: -75.5155840188779
episode: 81, episode length: 59, reward: -94.75033344730056
episode: 82, episode length: 389, reward: -74.52521534814102
episode: 83, episode length: 500, reward: 12.9649382994399
episode: 84, episode length: 500, reward: 19.81075266335428
episode: 85, episode length: 500, reward: 40.25033494412146
episode: 86, episode length: 412, reward: -80.62587720757074
episode: 87, episode length: 298, reward: -45.72483064492417
episode: 88, episode length: 135, reward: -84.89189467752598
episode: 89, episode length: 311, reward: -89.24349944652921
episode: 90, episode length: 500, reward: 57.475571984521416
episode: 91, episode length: 7, reward: -100.35721607193835
episode: 92, episode length: 198, reward: -66.66423983637569
episode: 93, episode length: 500, reward: -14.576966967563637
episode: 94, episode length: 353, reward: -84.4966100973492
episode: 95, episode length: 500, reward: 65.10685732492593
episode: 96, episode length: 500, reward: 34.788472998755545
episode: 97, episode length: 5, reward: -100.78950961999635
episode: 98, episode length: 500, reward: -11.071621110578857
episode: 99, episode length: 500, reward: 27.191159101813525
episode: 100, episode length: 500, reward: 10.06621132141587
episode: 101, episode length: 45, reward: -93.87003902168072
episode: 102, episode length: 59, reward: -84.19895731969903
episode: 103, episode length: 500, reward: 1.8793672409399607
episode: 104, episode length: 500, reward: 78.75083565351902
episode: 105, episode length: 426, reward: -59.46399490632774
episode: 106, episode length: 500, reward: 24.780831772746936
episode: 107, episode length: 64, reward: -87.9630116069716
episode: 108, episode length: 500, reward: 19.047089104283366
episode: 109, episode length: 500, reward: 75.1713447088877
episode: 110, episode length: 500, reward: 56.91958848283125
episode: 111, episode length: 50, reward: -82.38180694360355
episode: 112, episode length: 500, reward: 53.96094835321625
episode: 113, episode length: 500, reward: 50.65111961585502
episode: 114, episode length: 124, reward: -72.04077309048134
episode: 115, episode length: 326, reward: -20.501309803398442
episode: 116, episode length: 240, reward: -49.10731654419753
episode: 117, episode length: 500, reward: 90.38766593184118
episode: 118, episode length: 204, reward: -79.92826335498263
episode: 119, episode length: 500, reward: 88.18433982794264
episode: 120, episode length: 500, reward: 2.8017095630770283
episode: 121, episode length: 500, reward: 53.28339958065211
episode: 122, episode length: 148, reward: -69.03942370650026
episode: 123, episode length: 500, reward: 69.70282681039355
episode: 124, episode length: 478, reward: -64.74927335445526
episode: 125, episode length: 458, reward: -36.851029167789534
episode: 126, episode length: 2, reward: -99.96927927370407
episode: 127, episode length: 500, reward: 89.73723453859246
episode: 128, episode length: 40, reward: -87.69001094215953
episode: 129, episode length: 500, reward: 33.285858316381166
episode: 130, episode length: 500, reward: 53.43758375318249
episode: 131, episode length: 177, reward: -48.00182402384176
episode: 132, episode length: 500, reward: 48.55653026963597
episode: 133, episode length: 254, reward: -75.10666207483355
episode: 134, episode length: 500, reward: 36.83620786584645
episode: 135, episode length: 500, reward: -2.0450068764274363
episode: 136, episode length: 500, reward: 64.71031064118412
episode: 137, episode length: 500, reward: 12.326581596234034
episode: 138, episode length: 230, reward: -92.83699662135416
episode: 139, episode length: 489, reward: -39.12007995789682
episode: 140, episode length: 500, reward: 64.0068930447798
episode: 141, episode length: 127, reward: -90.69935470353077
episode: 142, episode length: 500, reward: 37.713550366151274
episode: 143, episode length: 500, reward: 6.605467789092575
episode: 144, episode length: 500, reward: 93.19007763948142
episode: 145, episode length: 500, reward: 76.09597683424467
episode: 146, episode length: 500, reward: 48.45491606789441
episode: 147, episode length: 500, reward: 9.811035591991889
episode: 148, episode length: 500, reward: 8.872246463865654
episode: 149, episode length: 500, reward: 44.532837723188436
episode: 150, episode length: 500, reward: 37.946802192383004
episode: 151, episode length: 251, reward: -75.96818536785615
episode: 152, episode length: 500, reward: 14.619523272393335
episode: 153, episode length: 500, reward: 29.39065398018839
episode: 154, episode length: 500, reward: -35.08433940781884
episode: 155, episode length: 500, reward: 62.19751861425981
episode: 156, episode length: 500, reward: 95.34875946480132
episode: 157, episode length: 500, reward: 34.72465638578714
episode: 158, episode length: 500, reward: 75.89022316800579
episode: 159, episode length: 151, reward: -90.30451399526314
episode: 160, episode length: 500, reward: 23.92076329720047
episode: 161, episode length: 500, reward: 65.42761545521013
episode: 162, episode length: 500, reward: 15.773810756423886
episode: 163, episode length: 500, reward: 68.08849833501097
episode: 164, episode length: 500, reward: 42.67155848168752
episode: 165, episode length: 500, reward: 44.78828850819029
episode: 166, episode length: 500, reward: 54.6343184161888
episode: 167, episode length: 500, reward: 47.27574141072339
episode: 168, episode length: 500, reward: 26.91957847134613
episode: 169, episode length: 243, reward: -48.049130479689914
episode: 170, episode length: 500, reward: 174.41921984201574
episode: 171, episode length: 500, reward: 88.2796389776269
episode: 172, episode length: 500, reward: 59.1486602942678
episode: 173, episode length: 500, reward: 14.900778421761123
episode: 174, episode length: 500, reward: 4.925754886490232
episode: 175, episode length: 500, reward: 30.14991832320557
episode: 176, episode length: 500, reward: 111.06913817237653
episode: 177, episode length: 500, reward: 35.41382975413255
episode: 178, episode length: 500, reward: 34.582114892326025
episode: 179, episode length: 80, reward: -62.19829059418938
episode: 180, episode length: 500, reward: 31.768899535437654
episode: 181, episode length: 500, reward: 34.29283654729567
episode: 182, episode length: 500, reward: 33.00171927201766
episode: 183, episode length: 500, reward: 44.13857673005464
